"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"Acetylcarnitine",29.8736183993805,29.9206389964655,29.6998360556078,29.920987085874,29.8342792391452,29.7814349202184,29.7672242297789,29.8528951681668,29.8718386680602,29.8447466465299,29.9097197995249,29.8415210088839,29.7680459812127,29.6880020641506,29.8026845912736,29.8904424769439,29.7459825253614,29.5425336061447,29.9441580064219,29.855674509559,29.8492615207178,29.7705639541655,29.7923726175033,29.7861033666749,29.8334844010018
"Acetylcholine",23.2627810392604,23.3487199410395,22.8187402354986,24.2642667448965,23.1859761972804,23.1467225737713,22.9888508360081,23.5778707846741,23.9169195173122,22.9829535746825,23.3688435488883,23.8590140142972,22.7814564048051,23.3891351751687,22.8245242037151,23.6739277627691,21.8911583011713,21.8823855811463,23.9958584627002,23.1795329420073,22.7751412069831,23.8438411346483,22.7987918450911,23.0161306995875,22.871243896635
"Adenosine",29.9070190151027,29.6180431785405,28.0983387656003,28.719818348555,30.2696381063983,28.8041637093447,29.6390121340381,29.279301965971,29.9902724037331,29.7215286118121,30.5619718516858,29.6257175012997,29.0375760110601,29.4066858053968,29.1730735275476,30.4938645226473,29.3170207553971,30.3840172683741,30.3007257586641,30.085049175299,28.7743132729718,30.855739395043,30.6261361890958,30.0640171609911,30.054333460752
"Alanine",25.9806557253211,25.9596265316683,25.1956843775408,26.6420412752053,26.0047248483267,25.8266923431683,25.6162965892579,25.8960845002159,26.1265920826153,26.3560308839636,26.08269952521,26.2594919831757,25.2270466272294,25.9415569381528,25.6160408214923,25.9523924078921,25.5238810473969,25.0279200761877,26.1744521128496,26.0501773393773,26.0558466485701,26.2171319689635,25.8125277661437,25.974289169664,25.8799928414255
"Aminoadipic acid",16.5701373660841,16.4238318823899,15.9335214124139,16.5566409675748,16.6751874999082,16.3899641043588,15.8393467822055,17.0407053867551,16.1357347751079,16.3226541884682,16.007442770152,16.0275353626148,15.9965404589672,15.8925580763202,16.2328194240575,15.8884725761495,14.8484689648684,15.7603974404657,15.1844715327121,16.3121613294938,16.0338126383968,16.2660287294425,15.8961568469583,16.1159476135957,16.1285700422622
"Anandamide",14.3820203498264,13.4664512845743,13.1404919188719,12.3955566822367,14.7583427302244,13.6652777059613,14.5169733569226,13.3026908496851,13.924428211039,13.9430125079874,14.3381269793606,13.2084649480018,14.1907113937126,13.8765710999599,14.2443452153535,13.8688121097752,13.366369813298,14.8072754086429,13.4897765649332,13.4588478737023,13.4385884595203,13.1271354675627,13.2583207687769,13.0058586724997,14.4929035964454
"Anserine",17.4282688758165,20.1580669877345,18.5007879446101,20.8589316274965,18.7510887453221,20.5382701791146,16.5414993953654,17.7097852468274,19.4669282148843,18.6028443205387,18.5621532367358,20.4242656943208,22.2697230711115,17.4639470094136,20.6943583091555,18.8944730498265,19.3363160087599,20.4036896562369,16.325328046512,20.0390483676745,17.9965614463804,19.5721497338453,20.9222394664095,19.572487858071,19.5702310535579
"Arginine",26.3208656474111,27.394303977442,26.5120131925223,27.3058938920204,27.2034418983082,27.1244633259261,27.4963879209259,27.3476816103137,26.9223604168004,27.1485006113798,27.1234689041518,26.8728407566466,27.2778693963618,26.762265044433,26.3574933392478,26.891883131007,27.1025941375641,27.118633293112,26.7868022974361,26.7136038862079,26.9055667432888,27.127269161473,26.7671016739935,27.402424757743,27.1098298684278
"Asparagine",20.5040169867273,20.318971701355,21.3085522866568,21.0357050853915,21.1966344712598,20.6920307310001,20.1316642648904,20.9086954038066,20.7788364728481,20.6227741164838,20.9662447326437,20.6062491286131,20.0478263251144,20.4569936461856,20.3102944110354,20.3531178249655,20.4018398349214,20.3007397344091,20.3706546607223,20.4306510519204,20.387306464685,20.5277076364936,20.6350382053224,20.7253080837317,20.279264599429
"Aspartic acid",19.1465283205329,22.5267535269626,19.6181211638283,20.6939906944915,21.9037070302186,20.8920725981905,20.629470057832,21.7990360534597,20.6193296768476,21.6726952402446,20.2858332191672,20.5229799085555,20.8887642702731,20.9911107618114,18.4469192796702,21.4130168174203,19.8856010266628,21.3014843499745,19.7568189667514,22.1506772603123,20.6511747265941,19.3831261941496,20.4193719263311,22.40529634127,19.9521598977802
"Asymmetric dimethylarginine",24.721609558983,25.0432702484027,24.1729905725677,25.1812835130117,24.5027165372594,25.0329224657167,24.5906112141336,24.5536820368004,25.3740398587093,24.6011230149517,23.890956626356,25.5017812863233,24.8940597204942,24.8611748791043,24.8691296812981,24.3667824936366,23.60204046634,24.6256733144463,24.8270678639895,24.7940105598255,24.2945363461182,24.6411784301369,24.5096038921698,25.1800832897033,25.14103705559
"beta-Alanine",17.5896864239824,17.6315513656502,17.5757247612084,16.6387921331741,17.4887790212778,17.510220428159,17.0023257090835,17.2169593849626,17.5745704191698,17.4437538903155,19.0233974950259,18.4031501121133,17.1238711631112,17.4616638516708,17.2001216759984,17.281584676114,17.7596951455644,17.5092536309733,16.7787835764047,16.8894568699537,17.1024175913663,16.4246193282521,17.172720091146,16.9423550040413,16.7659444107901
"Betaine",29.1844747576659,28.8152710224825,28.1828837642112,28.8989231038037,28.6861150282728,28.7108461752145,28.6063777134978,28.5696055463981,28.9936936403754,28.8940634247422,27.7201961682979,29.0719721752319,28.6744938119366,29.1278751656951,28.8477866415105,29.0352008674293,27.6624603506083,28.2775338384574,29.2892362938303,28.2330136496014,28.0653042324479,28.8462421490572,28.5887234726625,28.3888659955838,27.8818295790393
"Butyrylcarnitine",28.9494932334313,28.393933667127,28.1318383553231,28.6382263321493,28.6103434814556,28.0611768873027,28.521613641959,28.5383355007296,28.2944661738862,28.5489598119694,28.9291487744422,28.4253567096045,28.2808141757773,27.875423826377,28.1143824592651,28.5275338322029,28.2045771106561,27.6573062830418,29.2202374233104,28.4649938778417,28.5257583264388,28.8661192934512,28.2941443242309,28.4666611456423,28.9039902136638
"Carnitine",29.6486096688006,29.215552588366,29.02941420285,29.8291333443651,29.2394344169307,29.4266765780801,29.2663437557062,29.4433067951609,29.7553791847734,29.5958751450611,29.5137402991846,29.6381292832519,29.3775598442215,29.6259404507572,29.2409152437471,29.6487882758678,29.0807073656046,28.5680702849272,29.4486668722567,29.3993331132642,29.3503016203952,29.1851159190929,29.5648865925122,29.3495977784871,29.2134057592894
"Carnosine",22.7611812520978,26.1149683865512,26.3816265659959,23.4870573010588,25.1617358584811,23.7369218009366,23.3068894592426,24.7251185031788,22.8808542343315,23.2700995616552,23.9334203768094,23.2706546587654,23.8688063008598,21.0546999277376,23.318901218227,22.8614649447043,23.845911303686,25.7457723312622,24.474145022383,24.0327375634356,23.1224816868238,23.7678301894992,24.6812658689175,23.7134250147809,24.9030133145374
"Choline",21.4807838581007,20.7633302147729,22.1403643767798,20.484351819186,21.7589118657444,20.8594765781648,21.839498340665,20.6753137069544,20.6615878825482,20.6771372126717,20.8659501447533,20.7475641530782,21.2340659131086,20.5193568488825,19.8270617291417,20.2392320185303,19.8407258065376,21.7761764147429,21.4364895818791,20.0639364351206,19.9280982637651,21.1618831904641,19.9377364966069,21.5356647301324,20.8698450272872
"Citrulline",17.9870423898633,18.835333441992,16.6319138167937,17.8030140025015,17.3665873057743,17.9174016938077,17.3172522038015,17.4616598003104,18.2518710736211,19.2123947470285,15.5352024996821,18.7262632971829,16.4974654452366,19.4311505055545,17.4388275099449,17.4520990421029,16.3265447133753,18.428710486034,18.1133475846886,17.5137240542622,18.741332412777,18.6768108854717,17.7256854810569,17.8732513304414,18.0285995092506
"Colchicine",15.552589782142,15.7886629329953,15.7687039515839,15.8407740566767,15.5895204252018,15.693290013677,15.5436345465872,15.3720954115263,16.2342548958856,15.8030187487837,15.542253722182,15.5704223364373,14.8761456688067,14.8809484954337,14.7738257354568,15.0613804621025,14.3490577624202,15.1570568379963,15.2868648023071,15.086491711121,13.7683770332822,14.8872698062919,14.5418691238688,14.8739829870136,14.553166940811
"Cotinine",17.8956818920529,18.1593601856534,18.1466849168257,18.3763079315416,18.2977477801537,18.2765353460077,18.2223326816607,18.4392056980714,18.2320514066519,18.1570394012324,18.1266290287897,18.1765522190509,18.1434746410728,18.3494311915462,17.7895741483452,17.7118489947192,17.4294006692453,18.0167014982116,18.1179658305969,18.16641137483,17.5512204454792,17.7592077135666,17.4077570098894,17.942745974138,17.9256125423823
"Creatine",24.3095245743709,24.4348190217399,24.4207056573652,24.4054480281933,24.477577407222,24.482090626556,24.2365282517488,24.3346709387069,24.545942069279,24.4038327380001,24.2438881344675,24.4454372700594,24.1307690838957,24.2188253453149,23.8605250810981,23.9664544605055,23.7983029311989,24.0467208971147,24.0784738399122,23.9033337333141,23.4141461053231,23.8000323302749,23.7218781388777,23.9352202712995,23.7296310520979
"Cyclic AMP",17.8666640790997,16.4822057514246,15.7269050524121,16.2681719737584,17.2799945351562,16.0177553403002,16.4293003063696,17.0735932514321,16.8609723173451,16.4375062938786,16.9819471541673,17.1365852138692,16.4929051127007,16.6116300816153,16.9015247520445,17.0969432244711,15.3161798937903,16.1701296268072,17.6523523671662,17.1170107317188,17.6591027073566,18.5269427171167,17.067094264006,16.7790643170728,17.5704022025311
"Cystamine",17.4492761549972,18.6270625899845,18.1040419368015,18.4264557681097,17.6803225448237,18.1436770774643,19.634728478977,18.0322847673636,19.0566497045319,19.7776909089164,15.507668742283,19.3211489183176,18.7245769482567,17.4740315997324,19.2638162894602,18.8319609111852,16.5048922044221,19.4298082507661,20.7311236382215,20.0177087911496,19.4137780420343,16.63414283558,18.4962634824187,17.5868646565497,18.142691177487
"Cysteamine",14.3843544350919,14.5832123991871,13.3594460091938,13.5716484924713,13.451638927204,14.4001816217548,12.9974976371235,13.6471532450247,14.5686754093402,14.3040521683216,13.9758085866332,15.0610821785388,15.1442200742048,14.2316097354383,15.4658187718378,14.3084581344988,14.7429043918372,14.672159715779,14.3302999598423,13.2959050078525,13.2487297434044,14.937462950359,13.72357053008,13.9301265126657,13.2740458410637
"Cytidine",22.5081343142645,22.1426380166526,21.8835858465442,22.1053975834423,22.1518158144401,21.9213512129585,22.1805618027975,22.6119085846992,22.4787548526534,22.5776050409531,21.668771263736,22.1365889829954,21.9051544021766,22.4834068742187,21.9217861018539,22.8496578890817,21.37827613402,21.9264719488322,22.4862020394006,22.7478443696409,22.7591263410328,22.3455800046275,22.32598518071,22.4189386354498,22.4446194659158
"Cytosine",21.8376853948444,21.5821806185677,21.2516126548943,21.642610576062,21.5529175753285,21.4864584621664,21.5354687925204,21.9777781441912,21.9498793873229,21.987436454134,20.9640681295363,21.6129056553633,21.4427267493694,21.8715024230627,21.3446340495996,22.0501484635077,20.7807019877599,21.2309460451295,21.6812845065727,22.055765927652,22.1410869230565,21.6101705351622,21.5429512735334,21.8212320971521,21.8440212139083
"Dimethylguanidino valeric acid",15.163530571569,14.9805685089428,15.0717395558615,15.556196909432,14.8211759117435,15.1133121034442,15.4098533855742,16.0536963901427,15.6649028100676,15.8946095869068,14.8305137893679,15.9240463341543,14.5936297034807,15.2294096240997,15.7317344890012,15.1626659471133,14.0990632273401,15.008567072413,15.7849899505776,15.2970899666392,16.0855265170105,15.0665155515956,15.4519103661661,15.4208630483953,14.7474312759826
"Gamma-Aminobutyric acid",17.0428345795534,16.6226326933092,16.5275472664837,17.3315838534864,16.7043642362668,16.9299187827069,16.5774846217745,16.8617324566466,17.3194485574891,17.0266951155138,17.0387514197246,17.2833811114218,16.8932194692453,17.180316759648,16.7259433182355,17.3032860501562,16.5901895973561,15.9553149696771,16.8247522169745,16.9738269000608,16.9038497168546,16.5930147896597,16.998097279863,16.6962856625034,16.6408249817371
"Glutamic acid",27.6854905042749,28.0072886469815,28.0277014502704,28.1900514227161,28.3396714482313,28.0667345902025,28.2469338632973,28.1620896311421,28.1900061659751,27.879016978564,27.3326875387155,28.2888413815219,28.2055123299408,27.7295478535074,27.2044949997347,28.3901163418133,27.2772538508622,28.2179761366277,27.4952980662263,28.0896963223989,27.9853341762596,28.4766000233565,28.1702043466821,28.0845036978153,28.0896584357169
"Glutamine",20.1931839334105,20.4104865903134,20.180597994155,20.9151761260058,20.6084962176259,20.1928480869878,20.6503999367004,20.5003397875729,20.2033512281417,19.952449153223,20.2649575280934,20.2954063008432,20.4409232256766,20.2829544218068,20.2016768575336,20.7733337764899,19.8595469313875,20.0089948937601,20.8964642920931,20.5120587026003,20.6455915895172,20.8356332962519,20.6315496590985,20.897211992109,20.5704311173515
"Glycine",15.5656796644946,15.8676893634994,16.1917127351813,16.9927480224948,15.3166541921202,16.9602778558406,14.7154704856517,15.8369089378133,16.8222387733797,16.131825623557,15.5399898107178,16.7514966829954,15.5366481862077,16.310782202917,17.5394372430076,14.9944257895976,15.3251647012885,15.7221642514424,14.627939748788,15.2013256583191,14.9469820097748,14.7095455700157,15.0610658216407,15.0278744254935,15.8182112147664
"Histamine",21.0315223250999,20.898488028401,21.7423414929977,20.5529852716149,21.0950630464479,20.8971461680966,21.2617300967884,21.334843020114,20.6028687218916,20.3206831716855,21.5306679904626,20.7277054710164,20.6400945920198,20.6882619169475,20.2066468612877,20.3010907915773,21.1327591368828,20.1897287172509,20.6573676754082,20.6097889257065,20.8622821662185,19.9548519551445,20.5670229007543,20.8576953795505,19.9718067887284
"Histidine",27.3938210144792,26.9577725382005,30.6117443159553,27.7121868121044,29.6829122328832,27.7430976453299,26.2520034676373,26.3302612053422,27.3407104003751,26.7139688798117,26.5791520547301,27.9008428385324,26.8055440368121,26.8670163407757,27.1772158166611,26.5259322187515,29.5169825527111,27.2705337649695,28.8030461992829,27.6210169693301,27.4692227633766,27.5481653270998,27.0405141134697,26.9981424984182,27.1011364561186
