"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"Arginosuccinate",17.4458342672464,16.8565648675053,16.5606146299948,16.9677693013755,16.8157042591539,16.5286899105795,16.0048184593642,17.5823590919512,16.4675345664036,16.6033237604406,16.7345737641508,17.0645133109946,17.5054046268379,18.4514852371735,17.4852870818218,17.2236424373924,16.9477771488135,18.4259846691687,16.7065714303826,18.1000168302469,18.4426508506546,18.3546565332499,17.2438667922063,18.1569723181883,16.2815434365379
"Biotin",19.6178168627202,18.8009151833212,19.5839695477058,20.6218204334325,19.470659256661,19.1446022170247,19.8342153301604,21.7951466159061,20.9636682068906,19.0517019193182,19.2835518310401,19.0646084308365,20.1562560148763,20.0924088151201,18.8722780645811,20.0091747599226,19.6884754007586,20.8280110544541,19.505298697109,19.4807170158303,20.8477636386118,18.9757655708449,19.4137209175966,19.9372726080174,18.5686611022949
"Cholesterol sulfate",14.9367011602167,16.1213732562001,15.2148367337231,16.0147555082306,14.4150332997287,15.5248241697008,14.8158010245846,14.3831516428706,15.6442266274962,16.7697920368625,15.7579475020812,15.5205476098201,13.7579841474075,15.7562983135205,15.6983594412955,16.1442774884805,15.8558656552951,15.7416969281039,15.948340160062,14.9505367245034,14.2999024376518,14.6298381401213,14.9511780903507,15.0583624341667,16.3878479081704
"cis-Aconitic acid",20.9563464622185,21.2223134892881,20.6635662878894,21.1376532019447,20.6974467603917,20.718742471017,20.4294101870911,21.1373799497976,21.1523460445438,21.3027237056309,20.8380699956574,20.36628605084,20.5065930464948,21.003004213587,20.82737244734,20.6789985382907,20.5854568339182,21.0220167978355,20.860506817993,20.825566650891,21.3527741736181,20.1660534950581,20.4709553946628,21.0609878069373,20.5747036910395
"Citraconate",17.7024874191066,17.9176567852246,16.9473094893536,16.8455975936265,18.3969656744718,17.7994163647635,17.3320763491236,16.8997164199341,18.0867262862915,17.6779620300023,18.589414870685,17.9345366234332,17.4089458841895,17.1675615257606,16.3604349043793,17.132269833827,17.5094804539339,16.5937483043566,16.9818938019255,17.4001632814071,17.0671905661313,17.9996393414982,16.8646507854979,18.0853054821018,16.9007253043276
"Citrate",23.7511233487116,24.1519126333482,23.8083046454995,23.691289572485,24.797024573588,24.29468516841,25.1492749243423,23.1775032150615,24.2303144508874,23.9352738564575,24.7691563093922,25.0099004560103,24.1670369536828,22.9316289222581,23.423740754891,24.0111453216852,24.5656010534773,23.7702997075595,23.5940781384177,22.5114916910247,24.0893931038593,24.8832077232999,24.0309487635023,24.497641188572,23.7219905359528
"Deoxycholate",16.910957527912,14.5699602317961,15.9870694131703,15.5937007548614,15.3494149470506,15.7092115359222,15.2624074864737,16.2193657635161,16.7512941977358,15.9195819551749,14.7127977567436,15.2112796537332,16.6972689544672,16.3958778134889,16.7276498862979,17.4731068349525,16.6122099590715,16.3767218537881,16.4934873473195,16.0123944703071,15.3422577592476,14.9890181272955,15.877797117792,16.4118026886467,16.9612795589168
"Erythrose 4-phosphate",17.5016337535903,18.2517808271419,17.395316912014,18.5969482354174,18.2304096772269,17.9482116165173,17.9057831543788,18.8653666842908,17.5256857269208,18.1022377579964,18.4513790193671,17.6776571779283,19.2555605544341,18.5138666656524,17.8606835998852,18.9845305002517,18.4727632324674,18.0442252010975,18.5042863708431,17.9158941026031,18.6201772601833,18.1827084042486,19.0556691344057,17.5351352287949,17.8194021045289
"Flavin Mononucleotide",18.3778836987329,18.9035221622155,18.5570134859169,19.0176224468189,19.1131245549289,19.0431549811439,19.1441707853263,18.7898211523519,17.8895217851318,18.0335778478144,19.3109880018823,19.1640392441657,20.192714836324,18.7683575650678,19.2450416773542,19.2614239136171,19.2772359005379,17.9889044567145,18.8005766767808,19.4084963811706,18.8873036113863,19.5483629236025,19.2558359511241,18.4770743277024,19.0404671593903
"Fructose 1,6-bisphosphate",19.6898367339587,18.4201506478777,18.4898964608018,17.8172832682284,18.2101518819178,18.4489997231925,17.6500862404209,19.0777834601702,19.0633346582402,18.867556635055,18.4341889889449,17.7322640890025,19.0287945814307,20.2136671328179,21.6385324501691,20.9516779263185,20.4830479905191,19.5027993128929,19.3397224953086,19.1992732013718,20.1623706636946,19.090387567217,20.1303161717718,18.7474504896706,20.1013106892793
