"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_3","old_4","old_5","old_6","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"ABCF3",19.2201562906663,19.6202806907849,20.0558967043264,19.9881520976905,19.8803204060137,19.3286237804698,19.2982706956993,20.0156328341126,20.0425998817129,19.0655739103001,19.4038816471354,19.4105134610506,20.0019578972156,19.6091985814122,19.5563077123813,19.8468860060909,19.9742129067327,19.3250989946489,19.0857914160434,19.7592103957252,19.732490413569,20.0425998817129,19.4282926920232,19.4296825658389,19.9601377215209
"ABHD10",24.4800051940202,24.5165310700453,24.5403778119997,24.5580077060215,24.7593875939415,24.7745474011125,24.2678519571886,23.8480452137619,24.9225234297212,24.5462784134394,24.7023976153567,24.8575679878804,25.1603872598201,24.8623059068871,25.0690720930741,24.9539363823526,25.2462650949805,24.3711917068813,24.1718828986579,25.0062452556187,24.9360699615591,25.3745120651729,25.0813156888289,24.828808994899,25.0567237006465
"ABHD11",23.8857648797111,23.6757296648946,24.0019578972156,23.6864560714876,23.8857648797111,22.9441372428272,23.6320082874653,23.4551305253812,23.9134212226139,23.4169953964944,22.8210421118553,24.0442687020735,23.351107460838,23.6864560714876,23.6971033156872,23.1718828986579,23.598325161209,23.7695118112152,23.1779766565706,23.9134212226139,23.9583686286679,23.6971033156872,23.0173331231025,23.9933447669109,23.6971033156872
"ABHD12",19.2709340302921,19.0375630400595,19.4451421853821,18.8164663722157,18.9714986486503,19.8681577851893,18.1836256900778,19.8221724614762,18.6632140945114,18.5777570380474,18.6393654411628,18.8567050030104,18.1537301409856,18.911274942026,18.4390395021989,19.1960617638614,18.8149547819764,18.4140823354788,18.6666401048224,18.7613369626077,18.8368930041665,18.5556001942063,18.6082656525474,18.8133762540525,19.0690065145364
"ABHD14B",21.7013403085736,21.9351708060044,21.5731145984117,21.9846799057837,21.9985188132488,21.8499548037705,22.0156328341126,21.8575679878804,21.9565973638157,21.38574446251,22.2125248831552,21.9494904773214,21.9351708060044,22.1300627229633,22.0624994391506,22.598325161209,22.3564906575349,22.8014399755019,21.4118336913786,21.8913387245356,21.7835674064366,22.4144168523926,22.206575616824,22.3778247992137,22.1394614209655
"ABHD16A",21.0291793659506,20.8034122178335,21.3538015700072,20.2763970663216,20.7955070197481,19.959600422276,20.3538015700072,20.7795654758791,20.7055648944353,20.9459238623012,20.628576133764,21.3698614209033,21.1142608668404,20.5451002222421,20.2184497171123,19.8381667491053,20.5638367848237,20.9811993370488,20.7634458105158,20.9601377215209,21.304520667236,20.6452643841675,20.9811993370488,20.9671924790549,20.9811993370488
"ABI1",21.6843171607313,21.4676214695644,21.5068809000116,20.9097641990058,21.6843171607313,20.5823331284411,21.6714166720235,21.2989396349727,21.5020315003502,21.1289107328036,21.4118336913786,21.8307441998047,20.7223406071862,20.6885918158316,21.5591754074538,21.6885918158316,21.6670907466207,21.6141418666718,21.3804695204693,21.5777312264821,21.5914931277266,21.1394614209655,20.9097641990058,21.4118336913786,21.5731145984117
"ABI3BP",24.3975430338282,22.0392564386385,22.3883747185546,22.0690720930741,21.9985188132488,22.4247034916297,22.669255330734,22.3725207673538,22.0886122794698,21.9279573157718,23.1688263402245,21.4676214695644,21.2302268848887,22.5141245723382,21.9985188132488,23.4425304886016,22.7735416882514,25.464508857697,21.5684831496801,22.1672956291622,22.2135318639386,22.0156328341126,21.8268711906575,22.9170689996291,22.072347225107
"ABLIM1",26.0853739054032,26.2606921656157,26.2606921656157,26.3409595054619,25.9955028750783,24.9976577597819,25.9781469359445,26.0169082386815,26.1273098625706,26.152672294692,26.1074923113879,26.0894207384659,26.071119921723,26.2058302305812,26.1718828986579,25.8019332889076,25.9671924790549,25.8166547946143,25.9383154017648,25.8834360736511,26.0421823748251,25.8043973288591,26.2660653377146,25.7517475317394,26.0380006471411
"ABLIM3",20.1825301428574,20.3538015700072,21.1206023937142,20.8575679878804,20.6540345937953,20.5165310700453,20.9170689996291,20.7955070197481,20.9097641990058,19.1466333076036,21.2534966642115,20.5914931277266,20.7795654758791,20.4374594990541,20.9097641990058,21.0624994391506,20.3645279766003,20.9811993370488,20.5823331284411,20.535639892993,21.0886122794698,20.194602975158,21.2125248831552,20.3538015700072,21.0224219997753
