"","young_1","young_2","young_3","young_4","young_5","young_6","young_7","young_8","young_9","young_10","young_11","young_12","old_1","old_2","old_4","old_5","old_7","old_8","old_9","old_10","old_11","old_12","old_13"
"Hex1Cer(d18:1_24:1)+H",-1.56383251787164,-4.50654160586963,-3.66085573577944,-3.69780990206329,-4.94756153487369,-6.33202155992006,-4.48497285823568,-2.77280210067465,-1.20600183306256,-6.57020360670207,-3.59768445417952,-4.39928278351405,-3.27996903226804,-3.09666316148513,-2.99224926691194,-6.02360499268222,-4.23183690676778,-1.48111597343765,-10.5440638547541,-6.33039519798004,-1.92036933344784,-2.56276144411135,-1.31812089134657
"Hex1Cer(d19:0_20:4)+HCOO",2.17160469308454,0.560254572300422,1.02295141737549,2.07500580103831,1.42671872717854,1.58027189226388,1.41539220410229,1.15639229368398,0.656744533027603,1.31655749474542,2.53517208423334,1.84702956347104,2.10901321592872,1.61220856180377,2.30749202715002,-0.381931205193569,0.978357252271356,2.31305858420391,0.786767201158276,1.96571049914975,0.617930851266314,1.93181802914268,-0.455718118842302
"Hex1Cer(d20:0_22:6)+HCOO",-0.00360739769289099,0.644189367226136,-0.596206987949047,0.27103115681963,0.473165840965708,-0.233690490061575,1.32047476194635,-0.352939139688968,-0.151207397294228,1.0011592366132,0.662541896914756,1.04287101671427,1.095275936911,0.595759635482383,1.67692202705258,-1.36804210713795,1.10401945481536,0.971912192291792,-2.03103217313419,0.194457939745403,-1.59121561371539,1.80030362106731,-0.811406198887237
"Hex1Cer(d41:1)+HCOO",-3.67074019905486,-8.78338754746049,-7.65331978976902,-4.64173381603179,-8.29508895054364,-9.94491161183065,-6.33878640167807,-5.94790761744087,-2.10805616887586,-7.04776659518522,-3.6827410240889,-7.21232073036404,-6.27975188290944,-5.87385389158931,-6.48871200572567,-9.22693691270973,-8.09457422086678,-2.35595788674579,-11.0089811935171,-6.2841145276255,-2.10881872579353,-5.44817321958908,-1.93175635357892
"Hex1Cer(d42:1)+HCOO",-2.35961508249195,-28.4431769608005,-6.20987603619674,-4.46839041543516,-6.97107731202895,-8.60261825488126,-5.27605226871894,-4.79621895986514,-1.25116713196887,-6.39684062627501,-3.33308540462782,-6.30825437203228,-6.09324980584068,-4.94543774875869,-5.52775417656508,-28.9866201920833,-7.0593159796004,-1.56661161823715,-8.26127303905769,-5.69683472415311,-1.60706369103749,-4.98566244228207,-0.432498034399293
"Hex1Cer(t18:0_22:0)+H-H2O",-1.40301716600301,-2.2268019709849,-3.21861119700027,-2.50939116271912,-2.12740964813689,-4.9230579663362,-3.50485898779778,-2.06625033956701,-0.40612517625521,-3.15946256043873,-1.40736684329172,-4.07374348268751,-3.44509711061742,-2.35049655819742,-1.86062983495445,-2.0101412695422,-4.71022542944712,-0.560146636790583,-1.72465507235198,-3.42391867964686,-0.30184017330054,-1.94103317808725,-0.975354799280925
"Hex1Cer(t18:0_23:0)+H-H2O",-2.46609412937063,-3.50454618258424,-3.44442012866294,-3.78116466352073,-4.41233066660029,-6.63031760761285,-4.76576636252043,-3.78592108302886,-2.20783806065338,-3.90167134593585,-3.4645922182044,-3.52747581173482,-6.3044151295536,-3.42629873237379,-4.62006499264868,-3.33366646923389,-3.59575489683325,-1.41071817172431,-3.178259943729,-3.52220700452879,-2.26665397627587,-3.06170594459322,-2.58864908010735
"Hex1Cer(t20:0_20:4)+HCOO",3.62378637037776,1.31164201845819,3.34841496301141,3.05494758500457,2.06322844380731,3.4546352499695,1.63194834711703,1.61043130562722,-1.18951264568498,1.29044331979716,4.08475441905399,2.92008632056463,4.10151486079574,2.75819299801894,3.6469761089411,0.0859122768278495,2.86117709950196,2.70732100047055,3.76834547513621,1.24059669253726,-0.373458910536877,3.22610278629635,-1.952314727651
"Hex1Cer(t20:1_20:4)+HCOO",5.47221859827153,3.55341143301215,5.0373701971513,4.74329732969421,4.71842954656724,5.31925806124981,4.06100392878876,3.94106097241526,0.953132714356869,3.97800634501279,5.55454477974055,4.83484257262773,6.02571777404403,4.54462389463213,5.4372538702094,2.22492828352056,4.75620479021955,4.9812896157016,5.29274457248503,4.17739068818536,0.416264380918308,5.13199374403895,-1.94107590064047
"LPC(14:0)+H",2.52014163408776,2.07985436781721,1.05060041446075,3.29078675954575,2.71913945524912,3.06799602271511,2.92290195363795,2.33274698912205,3.71832363384665,3.53788853272018,2.41487242063557,2.70405582477437,2.89834695410719,3.77076427232722,2.98293234929524,1.87747785949134,1.62249956251094,3.19543262331693,1.79917082906602,3.47303364376974,4.62338222193366,2.39298875014364,3.94825001690441
"LPC(15:0)+H",0.953205367697952,1.1723433488934,-0.000483580082297526,2.42472456812697,1.78952177962373,2.63735438430377,1.6561253738118,1.73153261087981,2.79589396563025,2.16282822566777,1.4564331388552,1.90904756960872,1.78585967801787,1.97399472100083,1.97137270630285,0.651674691572788,0.702804798916383,2.08688928550852,0.797324746456904,2.23477148788793,3.68728719496133,0.902797674867965,2.21577853821337
"LPC(16:0)+H",8.33513300497215,7.85105315547554,6.55163585139119,8.24565432117203,8.35430660940343,8.92497695048429,8.44430587500077,8.37715225084018,9.26703680549814,8.76502176879976,8.18102145304731,8.3513742203998,7.69477015525477,8.73747608409554,8.63705297176352,6.8253696277291,7.88085681737591,8.55716755282939,6.3804132321911,8.71865272077714,9.76532335085842,8.35856737754628,9.39469763455171
"LPC(16:0e)+H",1.00117056560227,0.425751018716472,-0.99853427992412,0.753413773884639,1.16583650659788,1.35098157524862,0.581646977776756,0.372003639232371,2.07325143169617,1.08189193074205,1.29955158738596,0.885414244058194,0.452579048925476,1.27357644402639,0.748032451850328,-0.661560859104987,0.0139101771810456,1.15493263890096,-1.07444394874751,1.0471172062119,2.20426547883353,0.600199637397183,2.46721814765952
"LPC(16:1)+H",4.28085707095834,2.79248621920043,2.009259957167,3.34558946274374,3.42651083869872,3.71743967280629,3.48921812957262,3.68520555233261,4.48628514988231,5.07034173878009,2.89777112411931,3.54276840852001,4.11022028735099,4.53941321182524,4.05333807814463,2.19363264070694,2.77493052555132,3.62558956092865,1.98152636058924,3.82184070467473,5.43786050998642,3.46511265186471,5.2469227589807
"LPC(16:1e)+H",3.13771860371089,2.58312983992926,2.71566204714479,3.75632453976781,2.82044811652178,4.69405977072586,2.85916130771699,2.74029439659683,2.75145464012797,3.42108812330949,3.93935439635125,3.65002680531116,2.96620546021403,2.33717470971896,3.92565319474726,1.90223353029361,3.13263677512262,3.11369050643359,2.62264672784149,2.95814751343559,2.89435098861631,3.54490221393964,2.69316914643012
"LPC(16:2e)+H",1.36420278832629,0.708422618729436,-0.530150623852576,1.31103081245889,1.28548572466537,1.98095634259643,1.40732521865377,1.37030834863103,2.18914026383238,1.69080634985793,1.1222539293101,1.23343817097046,0.62367556896696,1.75929326558657,1.4403995150038,-0.204987536310026,0.812348454108598,1.48008857760651,-0.588455297602929,1.77968696341041,2.79671885063147,1.1979974453626,2.47595196747507
